"Date","Sales"
"2009-01-01",35
"2009-01-02",32
"2009-01-03",30
"2009-01-04",31
"2009-01-05",44
"2009-01-06",29
"2009-01-07",45
"2009-01-08",43
"2009-01-09",38
"2009-01-10",27
"2009-01-11",38
"2009-01-12",33
"2009-01-13",55
"2009-01-14",47
"2009-01-15",45
"2009-01-16",37
"2009-01-17",50
"2009-01-18",43
"2009-01-19",41
"2009-01-20",52
"2009-01-21",34
"2009-01-22",53
"2009-01-23",39
"2009-01-24",32
"2009-01-25",37
"2009-01-26",43
"2009-01-27",39
"2009-01-28",35
"2009-01-29",44
"2009-01-30",38
"2009-01-31",24
"2009-02-01",23
"2009-02-02",31
"2009-02-03",44
"2009-02-04",38
"2009-02-05",50
"2009-02-06",38
"2009-02-07",51
"2009-02-08",31
"2009-02-09",31
"2009-02-10",51
"2009-02-11",36
"2009-02-12",45
"2009-02-13",51
"2009-02-14",34
"2009-02-15",52
"2009-02-16",47
"2009-02-17",45
"2009-02-18",46
"2009-02-19",39
"2009-02-20",48
"2009-02-21",37
"2009-02-22",35
"2009-02-23",52
"2009-02-24",42
"2009-02-25",45
"2009-02-26",39
"2009-02-27",37
"2009-02-28",30
"2009-03-01",35
"2009-03-02",28
"2009-03-03",45
"2009-03-04",34
"2009-03-05",36
"2009-03-06",50
"2009-03-07",44
"2009-03-08",39
"2009-03-09",32
"2009-03-10",39
"2009-03-11",45
"2009-03-12",43
"2009-03-13",39
"2009-03-14",31
"2009-03-15",27
"2009-03-16",30
"2009-03-17",42
"2009-03-18",46
"2009-03-19",41
"2009-03-20",36
"2009-03-21",45
"2009-03-22",46
"2009-03-23",43
"2009-03-24",38
"2009-03-25",34
"2009-03-26",35
"2009-03-27",56
"2009-03-28",36
"2009-03-29",32
"2009-03-30",50
"2009-03-31",41
"2009-04-01",39
"2009-04-02",41
"2009-04-03",47
"2009-04-04",34
"2009-04-05",36
"2009-04-06",33
"2009-04-07",35
"2009-04-08",38
"2009-04-09",38
"2009-04-10",34
"2009-04-11",53
"2009-04-12",34
"2009-04-13",34
"2009-04-14",38
"2009-04-15",35
"2009-04-16",32
"2009-04-17",42
"2009-04-18",34
"2009-04-19",46
"2009-04-20",30
"2009-04-21",46
"2009-04-22",45
"2009-04-23",54
"2009-04-24",34
"2009-04-25",37
"2009-04-26",35
"2009-04-27",40
"2009-04-28",42
"2009-04-29",58
"2009-04-30",51
"2009-05-01",32
"2009-05-02",35
"2009-05-03",38
"2009-05-04",33
"2009-05-05",39
"2009-05-06",47
"2009-05-07",38
"2009-05-08",52
"2009-05-09",30
"2009-05-10",34
"2009-05-11",40
"2009-05-12",35
"2009-05-13",42
"2009-05-14",41
"2009-05-15",42
"2009-05-16",38
"2009-05-17",24
"2009-05-18",34
"2009-05-19",43
"2009-05-20",36
"2009-05-21",55
"2009-05-22",41
"2009-05-23",45
"2009-05-24",41
"2009-05-25",37
"2009-05-26",43
"2009-05-27",39
"2009-05-28",33
"2009-05-29",43
"2009-05-30",40
"2009-05-31",38
"2009-06-01",45
"2009-06-02",46
"2009-06-03",34
"2009-06-04",35
"2009-06-05",48
"2009-06-06",51
"2009-06-07",36
"2009-06-08",33
"2009-06-09",46
"2009-06-10",42
"2009-06-11",48
"2009-06-12",34
"2009-06-13",41
"2009-06-14",35
"2009-06-15",40
"2009-06-16",34
"2009-06-17",30
"2009-06-18",36
"2009-06-19",40
"2009-06-20",39
"2009-06-21",45
"2009-06-22",38
"2009-06-23",47
"2009-06-24",33
"2009-06-25",30
"2009-06-26",42
"2009-06-27",43
"2009-06-28",41
"2009-06-29",41
"2009-06-30",59
"2009-07-01",43
"2009-07-02",45
"2009-07-03",38
"2009-07-04",37
"2009-07-05",45
"2009-07-06",42
"2009-07-07",57
"2009-07-08",46
"2009-07-09",51
"2009-07-10",41
"2009-07-11",47
"2009-07-12",26
"2009-07-13",35
"2009-07-14",44
"2009-07-15",41
"2009-07-16",42
"2009-07-17",36
"2009-07-18",45
"2009-07-19",45
"2009-07-20",45
"2009-07-21",47
"2009-07-22",38
"2009-07-23",42
"2009-07-24",35
"2009-07-25",36
"2009-07-26",39
"2009-07-27",45
"2009-07-28",43
"2009-07-29",47
"2009-07-30",36
"2009-07-31",41
"2009-08-01",50
"2009-08-02",39
"2009-08-03",41
"2009-08-04",46
"2009-08-05",64
"2009-08-06",45
"2009-08-07",34
"2009-08-08",38
"2009-08-09",44
"2009-08-10",48
"2009-08-11",46
"2009-08-12",44
"2009-08-13",37
"2009-08-14",39
"2009-08-15",44
"2009-08-16",45
"2009-08-17",33
"2009-08-18",44
"2009-08-19",38
"2009-08-20",46
"2009-08-21",46
"2009-08-22",40
"2009-08-23",39
"2009-08-24",44
"2009-08-25",48
"2009-08-26",50
"2009-08-27",41
"2009-08-28",42
"2009-08-29",51
"2009-08-30",41
"2009-08-31",44
"2009-09-01",38
"2009-09-02",68
"2009-09-03",40
"2009-09-04",42
"2009-09-05",51
"2009-09-06",44
"2009-09-07",45
"2009-09-08",36
"2009-09-09",57
"2009-09-10",44
"2009-09-11",42
"2009-09-12",53
"2009-09-13",42
"2009-09-14",34
"2009-09-15",40
"2009-09-16",56
"2009-09-17",44
"2009-09-18",53
"2009-09-19",55
"2009-09-20",39
"2009-09-21",59
"2009-09-22",55
"2009-09-23",73
"2009-09-24",55
"2009-09-25",44
"2009-09-26",43
"2009-09-27",40
"2009-09-28",47
"2009-09-29",51
"2009-09-30",56
"2009-10-01",49
"2009-10-02",54
"2009-10-03",56
"2009-10-04",47
"2009-10-05",44
"2009-10-06",43
"2009-10-07",42
"2009-10-08",45
"2009-10-09",50
"2009-10-10",48
"2009-10-11",43
"2009-10-12",40
"2009-10-13",59
"2009-10-14",41
"2009-10-15",42
"2009-10-16",51
"2009-10-17",49
"2009-10-18",45
"2009-10-19",43
"2009-10-20",42
"2009-10-21",38
"2009-10-22",47
"2009-10-23",38
"2009-10-24",36
"2009-10-25",42
"2009-10-26",35
"2009-10-27",28
"2009-10-28",44
"2009-10-29",36
"2009-10-30",45
"2009-10-31",46
"2009-11-01",48
"2009-11-02",49
"2009-11-03",43
"2009-11-04",42
"2009-11-05",59
"2009-11-06",45
"2009-11-07",52
"2009-11-08",46
"2009-11-09",42
"2009-11-10",40
"2009-11-11",40
"2009-11-12",45
"2009-11-13",35
"2009-11-14",35
"2009-11-15",40
"2009-11-16",39
"2009-11-17",33
"2009-11-18",42
"2009-11-19",47
"2009-11-20",51
"2009-11-21",44
"2009-11-22",40
"2009-11-23",57
"2009-11-24",49
"2009-11-25",45
"2009-11-26",49
"2009-11-27",51
"2009-11-28",46
"2009-11-29",44
"2009-11-30",52
"2009-12-01",45
"2009-12-02",32
"2009-12-03",46
"2009-12-04",41
"2009-12-05",34
"2009-12-06",33
"2009-12-07",36
"2009-12-08",49
"2009-12-09",43
"2009-12-10",43
"2009-12-11",34
"2009-12-12",39
"2009-12-13",35
"2009-12-14",52
"2009-12-15",47
"2009-12-16",52
"2009-12-17",39
"2009-12-18",40
"2009-12-19",42
"2009-12-20",42
"2009-12-21",53
"2009-12-22",39
"2009-12-23",40
"2009-12-24",38
"2009-12-25",44
"2009-12-26",34
"2009-12-27",37
"2009-12-28",52
"2009-12-29",48
"2009-12-30",55
"2009-12-31",50
